run,metric,mean,ci_lower_95,ci_upper_95
baseline,accuracy,0.8184497833669622,0.8127340340669138,0.823849185866454
baseline,balanced_accuracy,0.7523443838313061,0.7447564879788214,0.7594993954311632
baseline,roc_auc,0.8866992664947575,0.8817214314294918,0.8912922191994562
baseline,brier_score,0.11959529442550867,0.1168199310571052,0.12230522226817418
baseline,mean_confidence,0.8155670442183812,0.8133855298161506,0.8180956527590751
mmd,accuracy,0.8179099995307588,0.8124794706958848,0.8232215757120735
mmd,balanced_accuracy,0.7518187051069939,0.7449194111076055,0.758571994099815
mmd,roc_auc,0.8864537655010647,0.8817711728176653,0.8907258297256586
mmd,brier_score,0.119723847998238,0.11728752535934013,0.12260510415255589
mmd,mean_confidence,0.8150912342468898,0.8127477765083313,0.8172674506902695
