metric,baseline,mmd,delta
accuracy,0.8185444136830745,0.8180751724461546,-0.00046924123691993724
balanced_accuracy,0.7526240206332364,0.7520740545241875,-0.0005499661090488939
roc_auc,0.8868583346378851,0.8866557011281508,-0.00020263350973426242
brier_score,0.1195453587194886,0.11966876680113407,0.00012340808164547357
positive_rate,0.24133076814790483,0.2414246163952888,9.38482473839819e-05
mean_score,0.2500114142894745,0.249931201338768,-8.021295070648193e-05
mean_confidence,0.8154345750808716,0.8150327801704407,-0.0004017949104309082
sex_demographic_parity_gap,0.06457931854823429,0.06496630164644729,0.0003869830982130007
sex_equal_opportunity_gap,0.03844169246646023,0.03642857442506309,-0.002013118041397144
sex_false_positive_rate_gap,0.011244542652536424,0.01262311182786574,0.0013785691753293167
race_demographic_parity_gap,0.1975603810381038,0.19284662841284128,-0.004713752625262524
race_equal_opportunity_gap,0.16870653685674541,0.1714881780250347,0.0027816411682892728
race_false_positive_rate_gap,0.09337310335883803,0.0855120390783729,-0.007861064280465124
age_demographic_parity_gap,0.16373403376846987,0.17519809547235451,0.011464061703884643
age_equal_opportunity_gap,0.4522463325183374,0.4755246536267319,0.023278321108394506
age_false_positive_rate_gap,0.08782508015675099,0.09496793729960813,0.007142857142857145
