run,metric,mean,ci_lower_95,ci_upper_95
baseline,accuracy,0.8194828961569144,0.8126659940875605,0.8252041199380602
baseline,balanced_accuracy,0.7534175017901554,0.7450916727181657,0.7598003872356531
baseline,roc_auc,0.8875687266346468,0.8824094522236549,0.8919203641822048
baseline,brier_score,0.11926382206871769,0.11696615815567418,0.12232155507940039
baseline,mean_confidence,0.8157837837934494,0.8134603828191758,0.8181906461715698
mmd,accuracy,0.8195767444042982,0.8141534888085965,0.8236978555675473
mmd,balanced_accuracy,0.7537202621836189,0.7475616235397164,0.7592252757528066
mmd,roc_auc,0.8878785294986786,0.8839077719054749,0.8917954270509972
mmd,brier_score,0.11913954454504108,0.117131871148714,0.12177814826108563
mmd,mean_confidence,0.8156940668821335,0.8135022163391114,0.818434701859951
