metric,value
accuracy,0.7473605180423255
balanced_accuracy,0.5229163274033414
roc_auc,0.7997240080008848
brier_score,0.15424121043120653
positive_rate,0.019332738961099903
mean_score,0.25821763277053833
mean_confidence,0.7427377700805664
sex_demographic_parity_gap,0.015705119285554445
sex_equal_opportunity_gap,0.03299279703323349
sex_false_positive_rate_gap,0.004072227459432215
race_demographic_parity_gap,0.04758991524152415
race_equal_opportunity_gap,0.05056626266640174
race_false_positive_rate_gap,0.041460251588639606
age_demographic_parity_gap,0.019966332303634027
age_equal_opportunity_gap,0.06213235294117648
age_false_positive_rate_gap,0.0074190835935371655
