run,metric,mean,ci_lower_95,ci_upper_95
baseline,accuracy,0.7467188306508377,0.7411782647459059,0.7535591947820374
baseline,balanced_accuracy,0.5226442712501147,0.5199428879102485,0.5255498942144479
baseline,roc_auc,0.799504894772828,0.793302513044108,0.8068505325882173
baseline,brier_score,0.15439142498653413,0.1516004429284959,0.15642812670524353
baseline,mean_confidence,0.742883923649788,0.7411279067397117,0.7450159460306167
mmd,accuracy,0.7468596030219136,0.7413460184881048,0.7523989958237529
mmd,balanced_accuracy,0.5209340064537636,0.5182842109848448,0.5237548781941642
mmd,roc_auc,0.7999625407364159,0.7929642779267707,0.8065890606941929
mmd,brier_score,0.15425926327142436,0.15260073927319406,0.15607712677794197
mmd,mean_confidence,0.7428448230028153,0.7413133069872856,0.7449698179960251
