metric,baseline,mmd,delta
accuracy,0.7473605180423255,0.7468443526817137,-0.000516165360611831
balanced_accuracy,0.5229163274033414,0.5211723826573473,-0.0017439447459940416
roc_auc,0.7997240080008848,0.8000326605864286,0.0003086525855438005
brier_score,0.15424121043120653,0.15432067960378557,7.946917257903308e-05
positive_rate,0.019332738961099903,0.01759654638449627,-0.0017361925766036339
mean_score,0.25821763277053833,0.2581144869327545,-0.00010314583778381348
mean_confidence,0.7427377700805664,0.7427447438240051,6.973743438720703e-06
sex_demographic_parity_gap,0.015705119285554445,0.013723486295154767,-0.0019816329903996777
sex_equal_opportunity_gap,0.03299279703323349,0.030396561705555138,-0.002596235327678352
sex_false_positive_rate_gap,0.004072227459432215,0.0027165902741341126,-0.0013556371852981022
race_demographic_parity_gap,0.04758991524152415,0.03839915241524152,-0.00919076282628263
race_equal_opportunity_gap,0.05056626266640174,0.03906218954897675,-0.01150407311742499
race_false_positive_rate_gap,0.041460251588639606,0.03416980071758959,-0.007290450871050014
age_demographic_parity_gap,0.019966332303634027,0.020450811611305866,0.00048447930767183886
age_equal_opportunity_gap,0.06213235294117648,0.0696078431372549,0.007475490196078426
age_false_positive_rate_gap,0.0074190835935371655,0.006893873509503552,-0.0005252100840336133
