run,metric,mean,ci_lower_95,ci_upper_95
baseline,accuracy,0.7893435315095492,0.7830087748111304,0.7947374595279433
baseline,balanced_accuracy,0.6513188627306228,0.6425565215820864,0.65885954493099
baseline,roc_auc,0.8517199592283259,0.8485380240288467,0.8555372230349284
baseline,brier_score,0.13950891723112088,0.13748299542731998,0.14101547886064952
baseline,mean_confidence,0.7600199937820434,0.7587569952011108,0.7619941294193268
mmd,accuracy,0.7907465628079395,0.7869961522218573,0.7941990052085777
mmd,balanced_accuracy,0.6501413490997514,0.6473396939523975,0.6534022264381415
mmd,roc_auc,0.8529305037836983,0.847666601345684,0.8576494210180494
mmd,brier_score,0.1390289166833742,0.1360681176363033,0.14067966146149072
mmd,mean_confidence,0.7609306812286377,0.7593126788735389,0.7629939407110214
fair_mmd,accuracy,0.7830134672234996,0.7797346440805217,0.7867040495518747
fair_mmd,balanced_accuracy,0.6233715897641343,0.6181905860115916,0.6266364009671278
fair_mmd,roc_auc,0.8539661788970999,0.8497925702733334,0.8567858407518301
fair_mmd,brier_score,0.13994816517059144,0.1378719608698843,0.14153853786683937
fair_mmd,mean_confidence,0.7573861122131348,0.7550872385501861,0.7596780434250832
