metric,baseline,mmd,fair_mmd,mmd_minus_baseline,fair_mmd_minus_baseline,fair_mmd_minus_mmd
accuracy,0.7902022429731125,0.7902960912204965,0.7839613345220778,9.384824738400965e-05,-0.0062409084510346435,-0.006334756698418653
balanced_accuracy,0.6519736827988689,0.6515722963355178,0.6237506777847794,-0.0004013864633510833,-0.028223005014089475,-0.027821618550738392
roc_auc,0.8517835686479737,0.851843928415701,0.8533629606944863,6.035976772733598e-05,0.0015793920465125844,0.0015190322787852484
brier_score,0.13900752183044823,0.1390296534129909,0.1399228282742974,2.2131582542661565e-05,0.0009153064438491565,0.0008931748613064949
positive_rate,0.1380976960255267,0.1372530617990709,0.10557927830697762,-0.0008446342264558093,-0.03251841771854909,-0.03167378349209328
mean_score,0.2558524012565613,0.25584810972213745,0.2541334927082062,-4.291534423828125e-06,-0.0017189085483551025,-0.0017146170139312744
mean_confidence,0.7608489394187927,0.76067715883255,0.7570608258247375,-0.00017178058624267578,-0.0037881135940551758,-0.0036163330078125
sex_demographic_parity_gap,0.06195116766802729,0.06129244032585986,0.046945273647664,-0.0006587273421674311,-0.015005894020363286,-0.014347166678195855
sex_equal_opportunity_gap,0.07940620621376493,0.07756823311267169,0.06794837104717799,-0.0018379731010932376,-0.011457835166586938,-0.0096198620654937
sex_false_positive_rate_gap,0.018495009805961006,0.01834379279609035,0.009109577651954616,-0.000151217009870655,-0.00938543215400639,-0.009234215144135735
race_demographic_parity_gap,0.14156962571257126,0.14227985298529855,0.11195103885388538,0.0007102272727272929,-0.029618586858685875,-0.030328814131413168
race_equal_opportunity_gap,0.24408901251738524,0.24547983310152988,0.20667593880389432,0.0013908205841446364,-0.037413073713490924,-0.03880389429763556
race_false_positive_rate_gap,0.03039380970907362,0.030964423118488744,0.018793498465395755,0.0005706134094151244,-0.011600311243677865,-0.012170924653092989
age_demographic_parity_gap,0.1517278091120394,0.15058189620142062,0.11467662500203177,-0.0011459129106187738,-0.03705118411000763,-0.035905271199388855
age_equal_opportunity_gap,0.37009803921568624,0.3664965986394558,0.29264705882352937,-0.0036014405762304635,-0.07745098039215687,-0.0738495398159264
age_false_positive_rate_gap,0.06423025160789642,0.062542013003507,0.043408642153760224,-0.001688238604389422,-0.020821609454136192,-0.01913337084974677
