metric,value
accuracy,0.7839613345220778
balanced_accuracy,0.6237506777847794
roc_auc,0.8533629606944863
brier_score,0.1399228282742974
positive_rate,0.10557927830697762
mean_score,0.2541334927082062
mean_confidence,0.7570608258247375
sex_demographic_parity_gap,0.046945273647664
sex_equal_opportunity_gap,0.06794837104717799
sex_false_positive_rate_gap,0.009109577651954616
race_demographic_parity_gap,0.11195103885388538
race_equal_opportunity_gap,0.20667593880389432
race_false_positive_rate_gap,0.018793498465395755
age_demographic_parity_gap,0.11467662500203177
age_equal_opportunity_gap,0.29264705882352937
age_false_positive_rate_gap,0.043408642153760224
