run,metric,mean,ci_lower_95,ci_upper_95
baseline,accuracy,0.7901177795504669,0.7865797006240909,0.7941673314250857
baseline,balanced_accuracy,0.6500179277944647,0.645859122900309,0.6554481629496185
baseline,roc_auc,0.8527125498922586,0.8495145735866763,0.8579241287596867
baseline,brier_score,0.13899838183794017,0.13809168733234434,0.13975253042134686
baseline,mean_confidence,0.7615642189979553,0.7595983505249023,0.7639717638492585
mmd,accuracy,0.7915255032612266,0.787217868706302,0.794223640373516
mmd,balanced_accuracy,0.6523798843706838,0.648839510984756,0.6568999523708274
mmd,roc_auc,0.851955952773191,0.8499097602113452,0.8531692065113909
mmd,brier_score,0.1390305147999044,0.13803919930719025,0.13993884828326453
mmd,mean_confidence,0.7605746626853943,0.7596311450004578,0.7614522993564605
fair_mmd,accuracy,0.7870020177373188,0.7862793862324621,0.7883440476749096
fair_mmd,balanced_accuracy,0.6382353419603891,0.6346039475797894,0.6424245571231335
fair_mmd,roc_auc,0.8527104419753883,0.849926296727692,0.8573349883278578
fair_mmd,brier_score,0.1392465117419562,0.1379480192892309,0.14026167368376216
fair_mmd,mean_confidence,0.7598072290420532,0.7589602708816529,0.7606014549732208
