metric,baseline,mmd,fair_mmd,mmd_minus_baseline,fair_mmd_minus_baseline,fair_mmd_minus_mmd
accuracy,0.7902022429731125,0.7902022429731125,0.7881375815306649,0.0,-0.0020646614424475462,-0.0020646614424475462
balanced_accuracy,0.6519736827988689,0.6516831261595729,0.6408719995368899,-0.0002905566392960024,-0.011101683261979023,-0.01081112662268302
roc_auc,0.8517835686479737,0.851811160543309,0.8527641737654594,2.7591895335299377e-05,0.0009806051174857666,0.0009530132221504672
brier_score,0.13900752183044823,0.1390190013718102,0.13934011677240055,1.147954136196394e-05,0.0003325949419523133,0.0003211154005903494
positive_rate,0.1380976960255267,0.13762845478860683,0.12448970015484961,-0.00046924123691988173,-0.013607995870677098,-0.013138754633757216
mean_score,0.2558524012565613,0.2558678090572357,0.2551244795322418,1.5407800674438477e-05,-0.000727921724319458,-0.0007433295249938965
mean_confidence,0.7608489394187927,0.7607508301734924,0.7589429020881653,-9.810924530029297e-05,-0.0019060373306274414,-0.0018079280853271484
sex_demographic_parity_gap,0.06195116766802729,0.06152244979922873,0.05460176644801851,-0.000428717868798556,-0.0073494012200087805,-0.0069206833512102245
sex_equal_opportunity_gap,0.07940620621376493,0.07780158490439398,0.07395364007819644,-0.001604621309370946,-0.005452566135568493,-0.003847944826197547
sex_false_positive_rate_gap,0.018495009805961006,0.018548185197966374,0.013157875367153099,5.3175392005368194e-05,-0.005337134438807907,-0.005390309830813275
race_demographic_parity_gap,0.14156962571257126,0.1418063681368137,0.11991589783978399,0.00023674242424243097,-0.02165372787278727,-0.0218904702970297
race_equal_opportunity_gap,0.24408901251738524,0.24408901251738524,0.22209417842241205,0.0,-0.021994834094973187,-0.021994834094973187
race_false_positive_rate_gap,0.03039380970907362,0.030679116413781182,0.014144592307085195,0.0002853067047075622,-0.016249217401988425,-0.016534524106695987
age_demographic_parity_gap,0.1517278091120394,0.15134583814183314,0.1345391154527575,-0.0003819709702062579,-0.017188693659281884,-0.016806722689075626
age_equal_opportunity_gap,0.37009803921568624,0.367156862745098,0.3367647058823529,-0.002941176470588225,-0.033333333333333326,-0.0303921568627451
age_false_positive_rate_gap,0.06423025160789642,0.06366750540643328,0.055226312384486165,-0.0005627462014631407,-0.009003939223410251,-0.00844119302194711
