metric,value
accuracy,0.7881375815306649
balanced_accuracy,0.6408719995368899
roc_auc,0.8527641737654594
brier_score,0.13934011677240055
positive_rate,0.12448970015484961
mean_score,0.2551244795322418
mean_confidence,0.7589429020881653
sex_demographic_parity_gap,0.05460176644801851
sex_equal_opportunity_gap,0.07395364007819644
sex_false_positive_rate_gap,0.013157875367153099
race_demographic_parity_gap,0.11991589783978399
race_equal_opportunity_gap,0.22209417842241205
race_false_positive_rate_gap,0.014144592307085195
age_demographic_parity_gap,0.1345391154527575
age_equal_opportunity_gap,0.3367647058823529
age_false_positive_rate_gap,0.055226312384486165
