metric,value
accuracy,0.7902022429731125
balanced_accuracy,0.6516831261595729
roc_auc,0.851811160543309
brier_score,0.1390190013718102
positive_rate,0.13762845478860683
mean_score,0.2558678090572357
mean_confidence,0.7607508301734924
sex_demographic_parity_gap,0.06152244979922873
sex_equal_opportunity_gap,0.07780158490439398
sex_false_positive_rate_gap,0.018548185197966374
race_demographic_parity_gap,0.1418063681368137
race_equal_opportunity_gap,0.24408901251738524
race_false_positive_rate_gap,0.030679116413781182
age_demographic_parity_gap,0.15134583814183314
age_equal_opportunity_gap,0.367156862745098
age_false_positive_rate_gap,0.06366750540643328
