occupancy_type,loan_amount,action_taken,state_code,county_code,applicant_race_1,applicant_sex,applicant_age,income,applicant_credit_scoring_model,debt_to_income_ratio,loan_term,interest_only_payment,property_value,target
1,1875000,1,CT,09001,5,2,55-64,725,2,20%-<30%,360,2,2505000,1
1,1305000,1,CA,06059,5,1,35-44,,3,42,360,2,2705000,1
2,2105000,1,NY,36103,5,1,55-64,953,1,49,360,2,3205000,1
2,575000,1,FL,12086,5,1,65-74,519,3,30%-<36%,360,1,1395000,1
1,1645000,1,MA,25017,5,2,35-44,510,2,42,360,1,2055000,1
1,1295000,1,FL,12087,5,1,65-74,498,3,38,360,1,1625000,1
1,3585000,1,NY,36103,5,1,25-34,1031,2,30%-<36%,360,2,4155000,1
1,1005000,1,NJ,34039,5,2,25-34,346,2,20%-<30%,360,2,1255000,1
1,1255000,1,SC,45019,5,1,>74,,3,40,360,1,2995000,1
2,1185000,1,FL,12031,5,1,55-64,308,3,44,360,2,1475000,1
1,385000,1,IL,17031,5,1,35-44,138,1,40,360,2,585000,1
2,1025000,1,NY,36061,5,1,65-74,458,3,30%-<36%,360,1,1365000,1
2,565000,1,WI,55021,5,1,45-54,1002,1,<20%,360,2,755000,1
2,515000,1,CO,08013,5,1,45-54,630,1,20%-<30%,360,2,1175000,1
1,2005000,1,FL,12086,5,1,35-44,554,1,20%-<30%,360,2,2805000,1
1,725000,1,PA,42045,5,1,35-44,,2,37,360,2,905000,1
1,3205000,1,NY,36103,5,1,55-64,738,1,46,360,1,4275000,1
1,655000,1,NJ,34023,2,1,45-54,,2,20%-<30%,360,2,815000,1
1,515000,1,NJ,34027,5,1,45-54,114,2,39,360,2,615000,1
1,785000,1,CT,09001,5,1,25-34,243,3,44,360,2,985000,1
1,185000,1,FL,12109,5,2,25-34,47,3,44,360,2,435000,1
1,1205000,1,NY,36059,5,1,45-54,372,3,38,360,2,2405000,1
1,1265000,1,NJ,34039,5,1,55-64,410,2,30%-<36%,360,2,1575000,1
1,725000,1,GA,13121,5,2,45-54,302,2,50%-60%,360,1,1185000,1
1,305000,1,FL,12099,5,2,65-74,291,1,20%-<30%,360,2,465000,1
2,1875000,3,FL,12011,5,1,65-74,-274,3,<20%,360,2,2505000,0
1,515000,1,CO,08035,5,1,65-74,148,2,47,360,2,735000,1
1,515000,1,MA,25021,5,2,65-74,147,3,44,360,2,915000,1
1,545000,1,TN,47187,5,1,45-54,197,3,30%-<36%,360,2,805000,1
1,1205000,1,MN,27019,5,1,65-74,257,2,50%-60%,360,2,1645000,1
1,2125000,1,FL,12057,2,1,35-44,834,1,43,360,1,2655000,1
1,6005000,1,NY,36047,5,1,45-54,1148,3,50%-60%,360,2,11005000,1
1,1425000,1,NY,36059,5,1,25-34,1129,2,40,360,2,1775000,1
1,805000,3,FL,12086,5,1,35-44,325,3,20%-<30%,360,2,965000,0
1,6005000,1,FL,12086,5,1,35-44,2170,3,43,360,1,7505000,1
1,925000,1,TX,48201,5,1,25-34,260,1,30%-<36%,360,2,1155000,1
1,1835000,3,NJ,34025,5,1,25-34,364,2,>60%,360,2,2795000,0
1,1875000,1,WA,53011,5,1,35-44,783,2,30%-<36%,360,1,2505000,1
1,515000,1,DC,11001,5,2,55-64,339,2,30%-<36%,360,2,985000,1
1,2115000,1,CO,08035,5,1,45-54,679,3,39,360,1,2825000,1
1,1125000,1,PA,42091,5,1,35-44,,1,20%-<30%,360,2,1405000,1
1,525000,1,NJ,34027,5,2,55-64,144,2,38,360,2,655000,1
1,595000,1,GA,13067,3,2,35-44,630,3,<20%,360,2,595000,1
2,515000,1,FL,12115,5,1,55-64,221,3,43,360,1,705000,1
3,205000,1,FL,12035,5,2,>74,145,3,20%-<30%,360,2,225000,1
1,855000,1,SC,45013,5,1,55-64,460,1,43,360,1,3415000,1
2,2505000,1,FL,12021,5,1,55-64,9259,1,<20%,360,1,3655000,1
1,1865000,1,NY,36119,5,1,35-44,,1,43,360,2,2335000,1
1,965000,1,NJ,34025,5,2,55-64,272,1,30%-<36%,360,2,1205000,1
2,1275000,1,RI,44009,5,1,45-54,655,1,30%-<36%,360,1,1705000,1
1,515000,1,SC,45045,5,1,25-34,209,2,<20%,360,2,675000,1
1,1005000,1,MA,25021,5,1,25-34,470,3,<20%,360,2,2455000,1
1,265000,3,AZ,04019,5,2,65-74,51,3,>60%,360,2,325000,0
1,905000,1,NJ,34039,5,1,35-44,,3,20%-<30%,360,2,1755000,1
1,515000,1,WI,55079,5,2,25-34,222,3,20%-<30%,360,2,675000,1
1,755000,3,MA,25007,5,1,>74,317,3,>60%,300,1,10745000,0
1,555000,1,NY,36027,5,1,25-34,351,1,<20%,360,1,695000,1
1,695000,1,TX,48113,5,2,35-44,575,2,37,360,2,2095000,1
2,415000,1,NY,36061,5,2,55-64,204,3,48,360,2,555000,1
1,1005000,1,NY,36029,5,1,25-34,2691,1,<20%,360,2,1405000,1
1,1085000,1,NY,36061,5,2,25-34,325,3,39,360,2,1455000,1
2,1005000,1,UT,49051,5,1,55-64,506,2,30%-<36%,360,1,1905000,1
2,3055000,1,FL,12021,5,1,55-64,831,2,48,360,1,4365000,1
1,1505000,1,GA,13133,5,2,55-64,534,1,38,360,1,3505000,1
1,1205000,1,FL,12086,5,1,45-54,809,2,50%-60%,360,2,2005000,1
1,245000,1,FL,12035,5,1,25-34,390,1,30%-<36%,360,2,315000,1
3,255000,1,FL,12081,5,1,65-74,123,3,46,360,2,505000,1
1,455000,1,VT,50007,5,2,35-44,120,3,37,360,2,575000,1
1,515000,3,PA,42095,5,2,25-34,,1,20%-<30%,360,2,955000,0
1,2475000,1,NY,36103,5,1,45-54,,3,<20%,360,2,3305000,1
1,865000,1,CA,06037,5,1,45-54,558,3,20%-<30%,360,2,1155000,1
1,1425000,1,FL,12115,5,1,65-74,875,1,20%-<30%,360,1,1895000,1
1,405000,3,TX,48439,5,2,25-34,354,2,20%-<30%,360,2,505000,0
1,3285000,1,CT,09001,2,1,45-54,1148,2,36,360,2,4105000,1
2,2085000,1,NJ,34009,2,1,45-54,564,1,41,360,2,2775000,1
1,365000,1,FL,12021,5,2,35-44,334,1,38,360,2,455000,1
1,595000,1,TX,48453,5,2,45-54,192,3,20%-<30%,360,2,1125000,1
1,745000,1,CA,06001,2,1,25-34,170,2,36,360,2,925000,1
2,2175000,1,NY,36103,5,1,45-54,3294,2,<20%,360,2,2905000,1
1,575000,1,TX,48339,5,1,55-64,329,1,30%-<36%,360,2,1735000,1
2,465000,1,MI,26089,5,2,25-34,311,1,30%-<36%,360,2,465000,1
1,255000,1,FL,12057,2,2,25-34,74,3,30%-<36%,360,2,385000,1
1,585000,1,VA,51153,5,2,55-64,207,3,38,360,2,735000,1
1,1735000,1,CA,06037,5,1,35-44,479,3,40,360,2,2315000,1
2,675000,1,FL,12021,5,1,55-64,301,2,46,360,2,1675000,1
2,905000,1,NY,36103,5,2,45-54,320,2,44,360,2,1985000,1
1,1285000,1,CT,09009,5,2,45-54,880,1,20%-<30%,360,1,1605000,1
1,515000,1,MI,26125,5,1,65-74,112,2,44,360,2,705000,1
1,465000,1,FL,12095,5,1,25-34,193,1,46,360,1,465000,1
1,605000,1,MI,26149,5,1,45-54,230,1,40,360,2,1055000,1
1,2805000,1,FL,12086,2,1,45-54,1518,3,47,360,2,4055000,1
2,1995000,1,NY,36103,5,1,45-54,792,3,41,360,2,2665000,1
1,1005000,1,MA,25025,5,1,25-34,339,2,20%-<30%,360,2,1425000,1
1,1055000,1,NY,36047,3,1,35-44,266,2,30%-<36%,360,2,1255000,1
1,1175000,1,NY,36061,5,1,35-44,330,1,43,360,1,1675000,1
2,1415000,1,NY,36061,5,1,55-64,540,1,48,360,2,2185000,1
1,515000,1,NY,36061,5,2,<25,,3,30%-<36%,360,2,725000,1
1,375000,1,FL,12086,5,1,55-64,240,1,50%-60%,360,1,465000,1
1,1285000,1,NY,36119,5,2,35-44,,1,39,360,2,1605000,1
1,255000,1,MI,26121,5,2,35-44,90,2,49,360,2,645000,1
1,2725000,1,NY,36119,5,1,35-44,1524,1,20%-<30%,360,1,3405000,1
1,1455000,1,OR,41017,5,1,35-44,358,1,40,360,2,1555000,1
1,515000,1,MA,25009,5,1,25-34,176,1,20%-<30%,360,2,645000,1
1,525000,1,TX,48201,5,1,45-54,339,2,20%-<30%,360,2,1075000,1
1,2505000,1,MD,24041,5,1,55-64,1837,3,<20%,360,1,4225000,1
1,1205000,1,TX,48257,5,1,45-54,392,2,42,360,2,1905000,1
1,285000,1,AZ,04013,5,1,65-74,221,2,30%-<36%,360,2,635000,1
1,1315000,1,FL,12099,5,1,35-44,504,3,40,360,2,1755000,1
3,535000,1,MA,25025,5,1,>74,234,1,48,360,1,985000,1
1,585000,1,FL,12057,5,1,35-44,287,3,41,360,2,735000,1
